cuba	[XXX]:was:an:ally:to:[YYY]	china	1
india	[XXX]:unofficially:shows:violence:to:[YYY]	indonesia	1
usa	[XXX]:ngoorgs3:[YYY]	israel	1
egypt	[XXX]:exports3:[YYY]	india	1
israel	[XXX]:has:a:different:bloc:membership:to:[YYY]	usa	1
cuba	[XXX]:intergovorgs3:[YYY]	israel	1
indonesia	[XXX]:ngoorgs3:[YYY]	usa	1
usa	[XXX]:releconomicaid:[YYY]	egypt	1
brazil	[XXX]:has:an:embassy:in:[YYY]	usa	1
israel	[XXX]:blockpositionindex:[YYY]	ussr	1
netherlands	[XXX]:has:a:diplomatic:presence:in:[YYY]	burma	1
ussr	[XXX]:threw:out:diplomats:of:[YYY]	usa	1
uk	[XXX]:went:for:an:official:visit:to:[YYY]	usa	1
netherlands	[XXX]:has:agreements:with:[YYY]	ussr	1
usa	[XXX]:blockpositionindex:[YYY]	china	1
jordan	[XXX]:reltourism:[YYY]	egypt	1
indonesia	[XXX]:reldiplomacy:[YYY]	usa	1
usa	[XXX]:has:an:embassy:in:[YYY]	netherlands	1
cuba	[XXX]:is:independent:of:[YYY]	brazil	1
poland	[XXX]:has:membership:in:non-governmental:organisation:with:[YYY]	usa	1
cuba	[XXX]:relngo:[YYY]	netherlands	1
cuba	[XXX]:share:non-governmental:organisation:membership:[YYY]	brazil	1
poland	[XXX]:differs:in:bloc:membership:to:[YYY]	egypt	1
ussr	[XXX]:has:membership:in:non-governmental:organisation:with:[YYY]	netherlands	1
netherlands	[XXX]:has:treaties:with:[YYY]	india	1
uk	[XXX]:is:involved:in:negative:behavior:with:[YYY]	ussr	1
cuba	[XXX]:reltreaties:[YYY]	indonesia	1
netherlands	[XXX]:has:an:embassy:in:[YYY]	egypt	1
jordan	[XXX]:participated:in:military:actions:with:[YYY]	israel	1
china	[XXX]:ngoorgs3:[YYY]	brazil	1
jordan	[XXX]:has:the:opposite:bloc:membership:as:[YYY]	burma	1
netherlands	[XXX]:ngoorgs3:[YYY]	uk	1
usa	[XXX]:attended:a:conference:with:[YYY]	ussr	1
ussr	[XXX]:has:the:opposite:bloc:membership:as:[YYY]	poland	1
indonesia	[XXX]:unofficially:shows:violence:to:[YYY]	usa	1
burma	[XXX]:has:an:opposite:bloc:membership:to:[YYY]	india	1
cuba	[XXX]:has:an:opposite:bloc:membership:to:[YYY]	china	1
usa	[XXX]:is:independent:of:[YYY]	jordan	1
egypt	[XXX]:has:agreements:with:[YYY]	uk	1
ussr	[XXX]:reltreaties:[YYY]	china	1
burma	[XXX]:relngo:[YYY]	brazil	1
jordan	[XXX]:relintergovorgs:[YYY]	ussr	1
israel	[XXX]:has:membership:in:non-governmental:organisation:with:[YYY]	india	1
netherlands	[XXX]:tourism3:[YYY]	israel	1
china	[XXX]:reldiplomacy:[YYY]	indonesia	1
brazil	[XXX]:is:independent:of:[YYY]	cuba	1
uk	[XXX]:relngo:[YYY]	netherlands	1
israel	[XXX]:is:in:a:negative:communication:with:[YYY]	jordan	1
usa	[XXX]:reltourism:[YYY]	israel	1
ussr	[XXX]:has:an:embassy:in:[YYY]	cuba	1
brazil	[XXX]:blockpositionindex:[YYY]	cuba	1
egypt	[XXX]:reldiplomacy:[YYY]	brazil	1
cuba	[XXX]:has:a:diplomatic:presence:in:[YYY]	poland	1
burma	[XXX]:relbooktranslations:[YYY]	usa	1
cuba	[XXX]:reldiplomacy:[YYY]	poland	1
usa	[XXX]:is:involved:in:negative:behavior:with:[YYY]	china	1
brazil	[XXX]:ngoorgs3:[YYY]	netherlands	1
indonesia	[XXX]:has:a:diplomatic:presence:in:[YYY]	netherlands	1
india	[XXX]:weightedunvote:[YYY]	netherlands	1
israel	[XXX]:has:a:different:bloc:membership:to:[YYY]	ussr	1
ussr	[XXX]:reldiplomacy:[YYY]	netherlands	1
china	[XXX]:economically:aided:[YYY]	indonesia	1
ussr	[XXX]:reldiplomacy:[YYY]	india	1
poland	[XXX]:reldiplomacy:[YYY]	jordan	1
india	[XXX]:share:non-governmental:organisation:membership:[YYY]	poland	1
indonesia	[XXX]:reldiplomacy:[YYY]	india	1
uk	[XXX]:releconomicaid:[YYY]	jordan	1
india	[XXX]:was:an:ally:to:[YYY]	egypt	1
netherlands	[XXX]:has:an:embassy:in:[YYY]	indonesia	1
ussr	[XXX]:is:independent:of:[YYY]	usa	1
india	[XXX]:share:non-governmental:organisation:membership:[YYY]	uk	1
china	[XXX]:relexports:[YYY]	uk	1
egypt	[XXX]:reldiplomacy:[YYY]	indonesia	1
usa	[XXX]:participared:in:a:conference:with:[YYY]	poland	1
indonesia	[XXX]:reldiplomacy:[YYY]	china	1
jordan	[XXX]:conferenced:with:[YYY]	egypt	1
brazil	[XXX]:relexports:[YYY]	uk	1
brazil	[XXX]:has:a:different:bloc:membership:to:[YYY]	egypt	1
cuba	[XXX]:has:an:opposite:bloc:membership:to:[YYY]	poland	1
usa	[XXX]:protested:the:acts:of:[YYY]	ussr	1
indonesia	[XXX]:duration:[YYY]	china	1
china	[XXX]:stopped:trading:with:[YYY]	ussr	1
china	[XXX]:went:for:an:official:visit:to:[YYY]	cuba	1
egypt	[XXX]:weightedunvote:[YYY]	uk	1
usa	[XXX]:boycotted:or:embargoed:[YYY]	ussr	1
indonesia	[XXX]:conferenced:with:[YYY]	ussr	1
china	[XXX]:has:negative:behavior:issues:with:[YYY]	uk	1
india	[XXX]:has:an:opposite:bloc:membership:to:[YYY]	israel	1
brazil	[XXX]:intergovorgs3:[YYY]	cuba	1
india	[XXX]:intergovorgs3:[YYY]	netherlands	1
brazil	[XXX]:has:a:different:bloc:membership:to:[YYY]	jordan	1
uk	[XXX]:differs:in:bloc:membership:to:[YYY]	egypt	1
india	[XXX]:duration:[YYY]	china	1
uk	[XXX]:allied:with:[YYY]	poland	1
china	[XXX]:reldiplomacy:[YYY]	india	1
poland	[XXX]:intergovorgs3:[YYY]	brazil	1
uk	[XXX]:has:emigrants:in:[YYY]	usa	1
uk	[XXX]:has:a:diplomatic:presence:in:[YYY]	ussr	1
jordan	[XXX]:relbooktranslations:[YYY]	usa	1
egypt	[XXX]:allied:with:[YYY]	usa	1
poland	[XXX]:is:a:military:ally:of:[YYY]	ussr	1
usa	[XXX]:is:involved:in:negative:behavior:with:[YYY]	ussr	1
egypt	[XXX]:intergovorgs3:[YYY]	netherlands	1
uk	[XXX]:exports3:[YYY]	netherlands	1
jordan	[XXX]:ngoorgs3:[YYY]	israel	1
ussr	[XXX]:is:in:a:negative:communication:with:[YYY]	usa	1
poland	[XXX]:is:independent:of:[YYY]	cuba	1
jordan	[XXX]:has:an:embassy:in:[YYY]	usa	1
ussr	[XXX]:translated:books:in:the:language:of:[YYY]	uk	1
brazil	[XXX]:was:an:ally:to:[YYY]	cuba	1
china	[XXX]:is:independent:of:[YYY]	cuba	1
usa	[XXX]:has:tourists:in:[YYY]	netherlands	1
burma	[XXX]:relintergovorgs:[YYY]	india	1
brazil	[XXX]:has:membership:in:non-governmental:organisation:with:[YYY]	uk	1
usa	[XXX]:blockpositionindex:[YYY]	indonesia	1
cuba	[XXX]:weightedunvote:[YYY]	netherlands	1
uk	[XXX]:reltourism:[YYY]	jordan	1
egypt	[XXX]:intergovorgs3:[YYY]	usa	1
poland	[XXX]:has:a:diplomatic:presence:in:[YYY]	uk	1
egypt	[XXX]:is:a:military:ally:of:[YYY]	jordan	1
usa	[XXX]:is:involved:in:negative:communication:with:[YYY]	china	1
uk	[XXX]:has:membership:in:non-governmental:organisation:with:[YYY]	ussr	1
israel	[XXX]:was:an:ally:to:[YYY]	uk	1
brazil	[XXX]:has:a:different:bloc:membership:to:[YYY]	burma	1
cuba	[XXX]:intergovorgs3:[YYY]	brazil	1
netherlands	[XXX]:blockpositionindex:[YYY]	poland	1
cuba	[XXX]:has:a:diplomatic:presence:in:[YYY]	netherlands	1
ussr	[XXX]:weightedunvote:[YYY]	uk	1
uk	[XXX]:participared:in:a:conference:with:[YYY]	burma	1
