china	warning	india
usa	tourism	india
ussr	commonbloc1	israel
brazil	independence	ussr
uk	weightedunvote	usa
israel	unweightedunvote	poland
burma	reldiplomacy	uk
israel	relstudents	usa
brazil	relngo	india
jordan	exports3	india
uk	intergovorgs	india
uk	weightedunvote	brazil
egypt	reltreaties	ussr
indonesia	officialvisits	ussr
burma	ngoorgs3	netherlands
burma	commonbloc1	poland
uk	economicaid	jordan
burma	weightedunvote	uk
cuba	commonbloc0	netherlands
netherlands	exports3	uk
jordan	relintergovorgs	brazil
usa	timesincewar	cuba
usa	blockpositionindex	egypt
israel	intergovorgs3	india
egypt	ngo	netherlands
poland	relintergovorgs	israel
ussr	relintergovorgs	poland
usa	treaties	brazil
brazil	intergovorgs	india
egypt	ngo	israel
ussr	embassy	uk
burma	commonbloc2	jordan
burma	reldiplomacy	india
indonesia	conferences	burma
uk	expeldiplomats	ussr
usa	releconomicaid	brazil
indonesia	nonviolentbehavior	cuba
india	booktranslations	usa
brazil	embassy	egypt
china	pprotests	uk
ussr	reltourism	poland
usa	intergovorgs	indonesia
india	unweightedunvote	ussr
uk	embassy	jordan
usa	releconomicaid	israel
poland	negativecomm	usa
cuba	timesinceally	ussr
israel	intergovorgs3	uk
israel	relexports	usa
israel	tourism3	uk
india	timesinceally	ussr
israel	commonbloc2	egypt
uk	booktranslations	ussr
israel	relngo	poland
usa	treaties	netherlands
uk	pprotests	usa
cuba	reltreaties	india
ussr	embassy	burma
uk	negativebehavior	india
uk	intergovorgs	netherlands
israel	commonbloc2	indonesia
poland	reldiplomacy	netherlands
ussr	tourism3	poland
egypt	reldiplomacy	china
poland	relintergovorgs	uk
egypt	commonbloc1	usa
burma	embassy	egypt
netherlands	ngo	cuba
india	intergovorgs3	uk
egypt	reltreaties	india
india	pprotests	usa
usa	economicaid	israel
uk	ngoorgs3	usa
ussr	releconomicaid	poland
jordan	ngoorgs3	brazil
ussr	blockpositionindex	israel
usa	relexports	india
burma	relngo	uk
poland	embassy	netherlands
netherlands	timesinceally	china
burma	intergovorgs3	brazil
ussr	embassy	egypt
brazil	relngo	netherlands
egypt	reltreaties	uk
uk	blockpositionindex	china
india	ngoorgs3	netherlands
egypt	ngoorgs3	poland
indonesia	students	china
china	relintergovorgs	poland
netherlands	timesinceally	egypt
china	blockpositionindex	uk
usa	timesinceally	china
indonesia	exports3	usa
china	commonbloc0	netherlands
brazil	relintergovorgs	cuba
uk	unweightedunvote	netherlands
poland	dependent	ussr
netherlands	embassy	jordan
cuba	conferences	ussr
poland	emigrants3	usa
india	relngo	usa
usa	reltourism	uk
uk	treaties	ussr
egypt	relexports	india
poland	relngo	israel
ussr	pprotests	usa
uk	relexportbooks	netherlands
uk	independence	egypt
cuba	timesinceally	netherlands
ussr	relbooktranslations	uk
brazil	commonbloc0	china
brazil	emigrants3	usa
jordan	negativecomm	israel
brazil	independence	netherlands
netherlands	relngo	usa
egypt	weightedunvote	netherlands
burma	relngo	india
brazil	exports3	netherlands
uk	independence	china
jordan	tourism3	egypt
burma	relexports	china
ussr	treaties	poland
egypt	negativebehavior	usa
india	intergovorgs	uk
ussr	conferences	burma
china	independence	uk
israel	pprotests	jordan
usa	tourism	ussr
ussr	independence	poland
ussr	economicaid	india
israel	intergovorgs	netherlands
uk	reltourism	egypt
netherlands	independence	usa
israel	ngo	poland
indonesia	commonbloc2	israel
cuba	eemigrants	usa
brazil	conferences	ussr
netherlands	timesinceally	uk
uk	intergovorgs	poland
egypt	negativecomm	usa
cuba	reltreaties	egypt
indonesia	relngo	poland
egypt	relexports	ussr
brazil	relbooktranslations	uk
egypt	relngo	netherlands
israel	unweightedunvote	uk
ussr	commonbloc1	indonesia
ussr	ngo	poland
netherlands	ngoorgs3	poland
burma	ngoorgs3	brazil
