ussr	[XXX]:weightedunvote:[YYY]	israel	1
poland	[XXX]:has:the:same:bloc:membership:as:[YYY]	uk	1
uk	[XXX]:differs:in:bloc:membership:to:[YYY]	burma	1
usa	[XXX]:blockpositionindex:[YYY]	jordan	1
uk	[XXX]:has:non-violent:issues:with:[YYY]	usa	1
indonesia	[XXX]:differs:in:bloc:membership:to:[YYY]	brazil	1
israel	[XXX]:has:membership:in:intergovernmental:organisation:with:[YYY]	usa	1
poland	[XXX]:has:an:embassy:in:[YYY]	jordan	1
ussr	[XXX]:has:membership:in:intergovernmental:organisation:with:[YYY]	usa	1
cuba	[XXX]:is:independent:of:[YYY]	china	1
usa	[XXX]:relexports:[YYY]	netherlands	1
jordan	[XXX]:was:involved:in:violent:actions:with:[YYY]	israel	1
poland	[XXX]:has:membership:in:non-governmental:organisation:with:[YYY]	brazil	1
burma	[XXX]:exports3:[YYY]	indonesia	1
jordan	[XXX]:differs:in:bloc:membership:to:[YYY]	poland	1
china	[XXX]:is:independent:of:[YYY]	brazil	1
netherlands	[XXX]:relbooktranslations:[YYY]	uk	1
jordan	[XXX]:accused:[YYY]	israel	1
netherlands	[XXX]:has:membership:in:intergovernmental:organisation:with:[YYY]	india	1
egypt	[XXX]:reldiplomacy:[YYY]	ussr	1
china	[XXX]:relngo:[YYY]	india	1
brazil	[XXX]:relexports:[YYY]	netherlands	1
indonesia	[XXX]:relintergovorgs:[YYY]	india	1
burma	[XXX]:has:membership:in:intergovernmental:organisation:with:[YYY]	india	1
poland	[XXX]:has:membership:in:intergovernmental:organisation:with:[YYY]	usa	1
netherlands	[XXX]:relexports:[YYY]	usa	1
uk	[XXX]:has:an:embassy:in:[YYY]	indonesia	1
israel	[XXX]:weightedunvote:[YYY]	netherlands	1
poland	[XXX]:has:an:embassy:in:[YYY]	india	1
brazil	[XXX]:reldiplomacy:[YYY]	poland	1
uk	[XXX]:unweightedunvote:[YYY]	burma	1
india	[XXX]:participared:in:a:conference:with:[YYY]	cuba	1
